1	"Production Agency"	"The agency responsible for the production of the data (AML)"	"IHO code for producing agencies"	"AGENCY"				"Coded String"
20621	"Communications"	"Method of communication available. (AML)"		"commns"				"List"
20622	"Confidence Level"	"The probability that the assumption made from a negative result of the exploratory operations is correct. (AML)"		"conlev"		0,01	"0.00 - 1.00"	"Real"
20624	"Exit Description"	"Description of exits from an area used for air landing purposes. (AML)"		"extdes"				"String"
20625	"Industry"	"Information on the industries including potential hazards. (AML)"		"indtry"				"String"
20626	"Landing Conditions"	"Description of the landing conditions including surface composition and immediate topographical features. (AML)"		"lndcon"				"String"
20627	"Leisure Activity"	"Type of leisure activity taking place. (AML)"		"lsract"				"String"
20628	"Logistics"	"Handling and supply facilities of the location. (AML)"		"logtcs"				"List"
20629	"Manoeuvring"	"Manoeuvring required for the boat to get into position. (AML)"		"manvrg"				"String"
20630	"Mine Threat Density"	"The estimated density of mines. (AML)"		"mntden"	"mines/m2"			"Integer"
20631	"Multiple Contacts"	"Where the object consists of multiple contacts on a small area. (AML)"		"mulcon"				"Integer"
20632	"Navigational Description"	"Description of any specific navigational requirements. (AML)"		"navdes"				"String"
20633	"Navigational Difficulty"	"An indication of the navigational difficulties associated with the location.  (AML)"		"navdif"				"Enumeration"
20634	"Number of Remaining Mines"	"The maximum acceptable number of remaining mines. (AML)"		"numrmn"				"Integer"
20635	"Pier Contact Details"	"Name and telephone number of the pier owner.  (AML)"		"pierod"				"String"
20636	"Pier Description"	"A description of the pier. (AML)"		"pierdn"				"String"
20637	"Prairies Density"	"The number of plants per square metre. (AML)"		"prsden"				"Integer"
20638	"Probability for Remaining Mines"	"The probability that the maximum acceptable number of mines remain. (AML)"		"prbrmn"		0,01	"0.00 - 1.00"	"Real"
20639	"Remaining Mines Likely, Maximum Number"	"The maximum number of mines likely to be remaining following MCM operations. (AML)"		"rmnlmn"				"Integer"
20640	"Self Protection (Air)"	"An indication of the level of self protection from air attack. (AML)"		"sfptna"				"Enumeration"
20641	"Self Protection (Near Defence)"	"An indication of the level of self protection from land attack. (AML)"		"sptnnd"				"Enumeration"
20642	"Self Protection (Surface)"	"An indication of the level of self protection from surface attack. (AML)"		"sfptns"				"Enumeration"
20643	"Sensor Coverage"	"Description of sensor coverage. (AML)"		"sencov"				"String"
20644	"Simple Initial Threat"	"The threat posed to the first ship to transit a minefield, given that there have been no previous MCM and that only poised mines have been used in the calculations. (AML)"		"sminth"		0,01	"0.00 - 1.00"	"Real"
20645	"Target Reference Weight"	"Reference weight of the target used when referring to burial probability. (AML)"		"tgrfwt"				"Enumeration"
20646	"Tidal Type"	"The characteristic feature of tide determined from the combination of its diurnal and semi-diurnal components. (IHO Dictionary, S-32, 5th Edition, 5716)"		"tdltyp"				"Enumeration"
20647	"Type of Resource Location"	"Type of Resource Location"		"typres"				"Enumeration"
20648	"Undetectable Mines Ratio"	"The total fraction of undetectable mines. (AML)"		"undmnr"		0,01	"0.00 - 1.00"	"Real"
20649	"Undetectable Mines Ratio with Burial"	"The fraction of undetectable mines due to total mine burial. (AML)"		"umnrwb"		0,01	"0.00 - 1.00"	"Real"
20650	"Undetectable Mines Ratio without Burial"	"The fraction of undetectable mines and masked mines caused by the bottom profile and the clutter density. (AML)"		"umrwob"		0,01	"0.00 - 1.00"	"Real"
20651	"Weapon Coverage"	"Description of weapon coverage. (AML)"		"wpncov"				"String"
20652	"On Sonar"	"Indicates whether the object is visible on sonar. (AML)"		"onsonr"				"Enumeration"
20653	"HF Bottom Loss"	"The loss of high frequency sonar signal from the geological layer. (AML)"		"hfbmls"	"dB"	0,1		"Real"
20654	"LF Bottom Loss"	"The loss of low frequency sonar signal from the geological layer. (AML)"		"lfbmls"	"dB"	0,1		"Real"
20655	"Detection Probability"	"The estimated probability of detecting a mine. (AML)"		"dtprob"		0,01	"0.00 - 1.00"	"Real"
20656	"Disposal Probability"	"The estimated probability of neutralising a mine. (AML)"		"dsprob"		0,01	"0.00 - 1.00"	"Real"
20657	"Classification Probability"	"The estimated probability of classifying a mine or other object of potential military significance. (AML)"		"clprob"		0,01	"0.00 - 1.00"	"Real"
20658	"Characteristic Detection Width (A)"	"The width of path over which mines can be detected on a single run. (AML)"		"cswidt"	"m"			"Integer"
20659	"Characteristic Detection Probability (B)"	"The ratio of the number of mines detected on a single run to the number of mines that could have been detected. (AML)"		"csprob"		0,01	"0.00 - 1.00"	"Real"
20660	"Zone Colour"	"Gives an indication of estimated level of risk. (AML)."		"znecol"				"Enumeration"
20661	"Reverberation Frequency"	"The frequency of the sonar signal. (AML)"		"revfqy"	"kHz"	0,1		"Real"
20662	"Reverberation Grazing Angle"	"The angle of the sonar signal. (AML)"		"revgan"	"Degree (°)"	0,01	"0.00 - 359.99"	"Real"
20663	"International Defence Organisation (IDO) status"	"The International Defence Organisation (IDO) status (if applicable) that must precede, and be applied to, the Protective Marking thus making it an IDO Marking.(AML)"		"secido"				"Enumeration"
20664	"Protective Marking"	"A marking indicating the minimum standards of protection required of the data.(AML)"		"secpmk"				"Enumeration"
20665	"Owner Authority"	"Denotes the `owner' that is responsible for establishing and setting the protective marking level. (AML)"	"Owner Authority is encoded by a two-character code derived from NATO STANAG 1059."	"secown"				"String"
20666	"Caveat"	"A component of a security classification used for authorising a specific group to have access rights (AML)"		"seccvt"				"String"
20667	"Species"	"A group of individuals having common characteristics, specialised from others of the same genus (Chambers Concise Dictionary)"		"spcies"				"String"
20669	"Runway length"	"The total length of the longest runway (AML)"		"rwylen"	"ft"			"Integer"
20670	"Active period"	"Details of the operating times/dates that restrict when an object is active or in use (AML)."		"actper"				"String"
20671	"Maximum altitude"	"Height (AGL - above ground level) above surface level to the highest portion of the feature (modified FACC - AV2)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"maxalt"				"Integer"
20672	"Minimum altitude"	"Height (AGL - above ground level) above surface level to the lowest portion of the feature (modified FACC - AV1)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"minalt"				"Integer"
20673	"Maximum Flight Level"	"A maximum surface of constant atmospheric pressure which is related to a specific pressure datum, (1,013.2 hectopascal (hPa) or 29.92 inches) and is separated from the consecutive flight levels by a pressure interval corresponding to 500 feet (152.4 m.) -"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"maxftl"				"Integer"
20674	"Minimum Flight Level"	"A minimum surface of constant atmospheric pressure which is related to a specific pressure datum, (1,013.2 hectopascal (hPa) or 29.92 inches) and is separated from the consecutive flight levels by a pressure interval corresponding to 500 feet (152.4 m.) -"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"minftl"				"Integer"
20675	"Bottom Vertical Safety Separation"	"A percentage value that can be applied to a charted depth in order to establish the BVSS clearance (AML)"		"bverss"	"%"		"0 -100"	"Integer"
20676	"Minimum Safe Depth"	"The minimum safe depth (MSD) applicable to a submarine of a specified height proceeding at a given rate of knots that should normally be used for planning purposes (AML)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class."	"mindep"				"Integer"
20677	"Interpolated line characteristic"	"The characteristics of a line used during interpolation between two points."		"linech"				"Enumeration"
20678	"Identification"	"The secondary name or identifier of an object. (AML)"		"identy"				"String"
20679	"Route Classification"	"A colour classification applied to a Q-Route to indicate the threat presented by the presence of mines (AML)."		"rclass"				"Enumeration"
20680	"Population"	"The number of inhabitants(Chambers Concise Dictionary)"		"popltn"				"Integer"
20681	"Surface Threat"	"Indication of the level of threat from surface attack. (AML)"		"surtht"				"Enumeration"
20682	"Heading-Up Bearing"	"The horizontal direction heading up a Q-Route (e.g. A to B to C to D), expressed as the angular distance from true north. It is usually measured from 0 at the reference direction clockwise through 360 (modified IHO Dictionary, S-32, 5th Edition, 435)"		"upbear"	"Degree (°)"	0,1	"0.0 - 359.9"	"Real"
20683	"Heading-Down Bearing"	"The horizontal direction heading down a Q-Route (e.g. D to C to B to A), expressed as the angular distance from true north. It is usually measured from 0 at the reference direction clockwise through 360 (modified IHO Dictionary, S-32, 5th Edition, 435)"		"dnbear"	"Degree (°)"	0,1	"0.0 - 359.9"	"Real"
20685	"Danger height"	"The reported danger height below which a danger to aircraft or aeronautical navigation exists (AML)"		"dgrhgt"	"ft"			"Integer"
20686	"Depth Restriction"	"Restrictions and/or additional qualifying information relating to submarine navigation (AML)"		"depres"				"String"
20687	"Area Category"	"Area category"		"arecat"				"Enumeration"
20688	"Existence of Restricted Area"	"Indication that a restricted area exists around the object. (AML)"	"If enumerate value 501 of the attribute is encoded, this should indicate to a GIS that the point object lies within an associated area object and that if required, the system should be directed to locate the said area, it being defined from the same spati"	"exzres"				"Enumeration"
20689	"Target Strength"	"The strength of the returning signal from the target. (AML)"		"tarstg"	"dB"			"Integer"
20690	"Qualification of Radar Coverage"	"Qualification of Radar Coverage"		"quarad"				"Enumeration"
20691	"Contact Details"	"Contact details including telephone, telex, fax etc."		"condet"				"String"
20692	"Limit of Anchors and Chains"	"The radius of a circular area, originating at the object's position or centre, within which the existence of chains and/or anchors are considered to be a hazard. (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"limanc"		0,1		"Real"
20693	"CCM Index"	"Indication of the degree to which terrain of a given area will permit Cross Country Movement. (Adapted from NATO STANAG 2259)"		"ccmidx"			"0 - 100"	"Integer"
20694	"Military Load Classification"	"Class number which represents the safe load carrying capacity of the object and indicates the maximum vehicle class that can be accepted under normal conditions. (Adapted from NATO STANAG 2174)"		"mlclas"				"Enumeration"
20695	"MGS Type"	"Classification of the seabed using Marine Geophysical Survey values. (AML) Note: this attribute must only be used where more detailed information that could populate the attribute Nature of Geological Layer is not available.  MGS Type and Nature of Geolog"	"Note: this attribute must only be used where more detailed information that could populate the attribute Nature of Geological Layer is not available.  MGS Type and Nature of Geological Layer must not be used on the same object."	"mgstyp"				"Enumeration"
20713	"Sea Direction"	"Indicates from which direction waves will cause most stress to a moored boat, (AML)"		"seadir"				"Enumeration"
20714	"Traffic density"	"Indicates the density of traffic (AML)"		"traden"				"String"
20715	"Type of shipping"	"Indicates the predominant type of shipping (AML)"		"typshp"				"List"
20716	"Ice Coverage Type"	"Indicates the type of ice coverage in an area (ECDIS Ice Objects Version 3.0)"		"icecvt"				"Enumeration"
20718	"Status of Small Bottom Object"	"Current minehunting status of the object. (AML)"		"staobj"				"List"
20719	"ICAO code"	"An airfield unique location identifier designated by the International Civil Aviation Organisation (ICAO document 7910)"	"Four letter text string or comma separated list"	"icaocd"				"String"
20720	"Textual description"	"The actual words used to define a particular thing, for the capture of information related to the feature ""user defined"" (adapted from SOED)"		"txtdes"				"String"
20721	"Object Reference Number"	"Reference number given to the object. (AML)"		"objtrn"				"String"
20722	"Object Shape"	"Geometric form, appearance or configuration of the feature. (Digital Geographic Information Working Group - DGIWG, Oct.87)"		"objshp"				"String"
20730	"Species grouping"	"The generalised group of organisms for which an area has been designated (AML)"		"spcgrp"				"List"
20731	"Conversation score"	"An assessment of the relative conservation value of a particular site. This may be specific to the system within which this AML feature is used. (AML)"		"conscr"				"Integer"
20732	"Global grade"	"An expert judgement of the overall value of the site for the conservation of the relevant feature. Sites have been graded A, B or C, as described in European Commission DGXI (1995)."" (JNCC 30/07/2004)."		"glogrd"				"Enumeration"
20733	"IUCN category"	"The primary management objective category used by IUCN to define a feature (AML)"		"iuccat"				"Enumeration"
20734	"Type of Scour"	"Identifies the activity that made the scour"		"catscr"				"Enumeration"
20735	"Tidal Stream Direction"	"The direction of the tidal stream"		"tstrdr"	"Degree (°)"	0,1	"0.0 - 359.9"	"Real"
20736	"Tidal Stream Velocity"	"The velocity of the tidal stream"		"tstrve"	"Knots"	0,1		"Real"
22484	"Category of completeness"	"Indicates the inclusion criteria and completeness regarding the feature content of the dataset. (AML)"		"catcnf"				"Enumeration"
22485	"Error Ellipse"	"Also known as the Figure of Merit. 95% 2sigma value - semi-major and semi-minor axes of error ellipsoid plus orientation. (AML)"	"Encodes in triplets: The semi-major, semi-minor and orientation of the error ellipse.Orientation is expressed as the true bearing of the major axis."	"errell"				"Coded String"
22488	"Vertical Datum Shift Parameter"	"Shift parameter required to encode the difference between vertical datums. (AML)"		"vershf"	"m"	0,1		"Real"
22489	"Absolute Vertical Accuracy"	"The vertical error estimate for a single point, relative to the specified spatial reference system (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class. The expected input is the maximum value of the one-dimensional error. The error is assumed to be positive and negative. The plus/minus "	"elvacc"		0,1		"Real"
22490	"Reflection Coefficient"	"The rate of reflection of acoustic energy from the sea surface or seabed. (AML)"		"reflco"		0,1		"Real"
22491	"Copyright statement"	"Indicates any copyright or releaseability restrictions on the data (AML)"		"cpyrit"				"String"
30300	"Ice Attribute Total Concentration"	"Specifies the total concentration of ice in an area.  (ECDIS Ice Objects Version 4.1)"	"This attribute represents the ratio expressed in tenths describing the area of the water surface covered by ice as a fraction of the whole area."	"ICEACT"				"Enumeration"
30301	"Ice Attribute Partial Concentration"	"Specifies the partial concentrations of ice in an area ('Ca, Cb and Cc'). (ECDIS Ice Objects Version 4.1)"		"ICEAPC"				"List"
30302	"Ice Stage of Development"	"Describes the ages and thicknesses of the ice. (ECDIS Ice Objects Version 4.1)"		"ICESOD"				"List"
30303	"Lake Ice Stage of Development"	"Describes the ages and thicknesses of lake ice. (ECDIS Ice Objects Version 4.1)"		"ICELSO"				"List"
30304	"Floe Sizes"	"The predominate forms of ice floe sizes ('Fa,Fb and Fc) corresponding to the ice Stages of Development Sa, Sb and Sc respectively. Optionally, predominant (Fp) and secondary (Fs) floe size can be reported independently from Sa, Sb, and Sc. (ECDIS Ice Obje"		"ICEFLZ"				"List"
30305	"Melt Stage"	"The stages of the melting ice. Puddle: An accumulation of water on ice, mainly due to the melting of snow, but in some more advanced stages also the melting of ice. Thaw Hole: Vertical holes formed in ice when surface puddles melt through to the underlyin"		"ICEMLT"				"Enumeration"
30306	"Concentration of Strips and Patches"	"A strip is a long narrow area of floating ice, about 1 kilometre or less in width, usually composed of small fragments detached from the main mass of ice, and run together under the influence of wind, swell or current. If the area of ice becomes more roun"		"ICESPC"				"Enumeration"
30307	"Number of Icebergs in Area"	"The number of icebergs within a specified area. (ECDIS Ice Objects Version 4.1)"		"ICEBNM"				"Integer"
30308	"Level Ice"	"Indication as to whether or not the ice has been affected by deformation. (ECDIS Ice Objects Version 4.1)"		"ICELVL"				"Enumeration"
30309	"Compacting Strength"	"Indication of strength of the compacting of the ice. (ECDIS Ice Objects Version 4.1)"		"ICECST"				"Enumeration"
30310	"Ice Fracture Type"	"Indication of the type of fracture, based upon width. (ECDIS Ice Objects Version 4.1)"		"ICEFTY"				"Enumeration"
30311	"Ice Lead Status"	"Indicates the surface nature of the lead (ECDIS Ice Objects Version 4.1)"		"ICELST"				"Enumeration"
30312	"Frequency of Leads or Fractures"	"Indication of the frequency of leads or fractures in number per nautical mile.  (ECDIS Ice Objects Version 4.1)"		"ICELFQ"				"Integer"
30313	"Orientation of Leads or Fractures"	"Indication of the predominant orientation of leads and fractures.  (ECDIS Ice Objects Version 4.1)"		"ICELOR"				"Enumeration"
30314	"Ice Lead or Fracture Width"	"Indication of the width of a lead or fracture in metres. (ECDIS Ice Objects Version 4.1)"		"ICELWD"	"m"	0,1		"Real"
30315	"Ice Location Information"	"Indication as to whether the break is at a specific location, or whether there is a presence in the area. (ECDIS Ice Objects Version 4.1)"		"ICELOC"				"Enumeration"
30316	"Iceberg Size"	"Categorizes the size of an iceberg (ECDIS Ice Objects Version 4.1)"		"ICEBSZ"				"Enumeration"
30317	"Ice Drift Direction"	"Indicates the direction in which an ice mass is drifting. (ECDIS Ice Objects Version 4.1)"		"ICEDDR"				"Enumeration"
30318	"Ice Drift Speed"	"Describes the speed at which an ice mass is travelling. (ECDIS Ice Objects Version 4.1)"		"ICEDSP"	"Kt"	0,1		"Real"
30319	"Ice Average Thickness"	"Defines the average thickness of the ice. (ECDIS Ice Objects Version 4.1)"		"ICETCK"	"cm"	0,1		"Real"
30320	"Maximum Ice Thickness"	"Specifies the maximum thickness of the ice. (ECDIS Ice Objects Version 4.1)"		"ICEMAX"	"cm"	0,1		"Real"
30321	"Minimum Ice Thickness"	"Specifies the minimum thickness of the ice (ECDIS Ice Objects Version 4.1)"		"ICEMIN"	"cm"	0,1		"Real"
30322	"Ice Thickness Type"	"Indication of whether the thickness of the ice was measured or estimated. (ECDIS Ice Objects Version 4.1)"		"ICETTY"				"Integer"
30323	"Snow Depth"	"Specifies the depth of snow cover on the ice. (ECDIS Ice Objects Version 4.1)"		"ICESCT"	"cm"	0,1		"Real"
30324	"Snow Cover Concentration"	"Indication of the concentration (aerial coverage) of snow in tenths. (ECDIS Ice Objects Version 4.1)"		"ICESCN"				"Enumeration"
30325	"Direction of Sastrugi"	"Indication of the bearing of a sastrugi.  Sastrugi: Sharp, irregular ridges formed on a snow surface by wind erosion and deposition. On mobile floating ice the ridges are parallel to the direction of the wind at the time they were formed. (ECDIS Ice Objec"		"ICEDOS"				"Enumeration"
30326	"Ice Ridge Concentration"	"Describes the concentration of ice ridges in an ice area. (ECDIS Ice Objects Version 4.1)"		"ICERCN"				"Enumeration"
30327	"Ice Ridge Classification"	"Describes the predominant type of ice ridge(s) present. (ECDIS Ice Objects Version 4.1)"		"ICERDV"				"Enumeration"
30328	"Ice Ridge Mean Height"	"Indicates the mean height of ice ridge(s). (ECDIS Ice Objects Version 4.1)"		"ICERMH"	"dm"	0,1		"Real"
30329	"Ice Ridge Frequency"	"Indicates the frequency of ice ridges in number per nautical mile.  (ECDIS Ice Objects Version 4.1)"		"ICERFQ"				"Integer"
30330	"Ice Ridge Maximum Height"	"Indicates the maximum height of ice ridge(s). (ECDIS Ice Objects Version 4.1)"		"ICERXH"	"dm"	0,1		"Real"
30331	"Ice Keel Concentration"	"Describes the concentration of ice keels beneath an ice area. (ECDIS Ice Objects Version 4.1)"		"ICEKCN"				"Enumeration"
30332	"Ice Keel Frequency"	"Indicates the frequency of ice keels in number per nautical mile.  (ECDIS Ice Objects Version 4.1)"		"ICEKFQ"				"Integer"
30333	"Ice Keel Mean Depth"	"Indicates the mean depth of ice keels. (ECDIS Ice Objects Version 4.1)"		"ICEKMD"	"dm"	0,1		"Real"
30334	"Ice Keel Maximum Depth"	"Indicates the maximum depth of ice keels. (ECDIS Ice Objects Version 4.1)"		"ICEKXD"	"dm"	0,1		"Real"
30335	"Ice Rafting Concentration"	"Describes the concentration of ice rafting in an ice area. (ECDIS Ice Objects Version 4.1)"		"ICEFCN"				"Enumeration"
40101	"Category of boundary line"	"Indicates the category of a boundary (AML)"		"catbdg"				"List"
40105	"Category of leisure activity area"	"Indicates the category of leisure activity area (AML)"		"catlsa"				"List"
40107	"Category of shed / hut"	"Indicates the category of a shed / hut  (AML)"		"catsht"				"Enumeration"
40109	"Category of treatment area"	"Indicates the category of a treatment area for water (AML)"		"cattra"				"Enumeration"
40110	"Category of water objects"	"Indicates the category of a specific water body (AML)"		"catwto"				"Enumeration"
40111	"Lane / track number"	"The number of track(s) or lanes of the feature, including both directions. (DFDD - LTN)"		"lanenr"				"Integer"
40112	"Median category"	"Presence of a divider between multiple lanes/rails. (DFDD - MED)"		"medcat"				"Enumeration"
40117	"Usage"	"Use (identifies the primary user, function, or controlling authority). (DFDD - USE)"		"useopr"				"List"
40118	"Weather type category"	"Weather conditions under which a feature is usable. (DFDD - WTC)"		"weacat"				"Enumeration"
40119	"Boundary status type"	"Identifies the status of a boundary. (DFDD - BST)"		"bndsty"				"Enumeration"
40121	"Category of lake"	"Indicates the type of lake (AML)"		"catlak"				"Enumeration"
40122	"Category of research facility"	"Indicates the category of a research facility (AML)"		"catres"				"Enumeration"
40123	"Category of railway track"	"Indicates the type of gauge used. (DFDD - RGC)"		"catrtr"				"Enumeration"
40124	"Category of tunnel"	"Indicates the category of transportation system connected with the tunnel (AML)"		"cattnl"				"List"
40125	"Category of transport facility"	"Indicates the category of a facility for transporting or trans-shipment of goods (AML)"		"catrpf"				"Enumeration"
40126	"Category of waste disposal/treatment site"	"Indicates the category of a waste disposal/treatment site (AML)"		"catwds"				"List"
40127	"Category of railway"	"Indicates the use of the railway track"		"ctrail"				"Enumeration"
40128	"Position of railway track"	"Status of  feature relative to surrounding area or water. (DFDD - LOC)"		"postrc"				"Enumeration"
40129	"Status of electrification"	"Source of electrical power for railroad. (DFDD - RRA)"		"statel"				"Enumeration"
40130	"Communication Name"	"The call sign of the facility other than the name of the referenced Airport/Heliport."	"Field length: 20 characters"	"comnam"		20		"Coded String"
40131	"communication frequency 1"	"Appropriate frequency(ies) which allow communication with the identified facility. This field will contain the unit of measurement in Megahertz (M) or Kilohertz (K)."	"Field length: 9 characters"	"cmfrq1"		9		"Coded String"
40132	"communication frequency 2"	"Appropriate frequency(ies) which allow communication with the identified facility. This field will contain the unit of measurement in Megahertz (M) or Kilohertz (K)."	"Field length: 9 characters"	"cmfrq2"		9		"Coded String"
40133	"communication frequency 3"	"Appropriate frequency(ies) which allow communication with the identified facility. This field will contain the unit of measurement in Megahertz (M) or Kilohertz (K)."	"Field length: 9 characters"	"cmfrq3"		9		"Coded String"
40134	"communication frequency 4"	"Appropriate frequency(ies) which allow communication with the identified facility. This field will contain the unit of measurement in Megahertz (M) or Kilohertz (K)."	"Field length: 9 characters"	"cmfrq4"		9		"Coded String"
40135	"communication frequency 5"	"Appropriate frequency(ies) which allow communication with the identified facility. This field will contain the unit of measurement in Megahertz (M) or Kilohertz (K)."	"Field length: 9 characters"	"cmfrq5"		9		"Coded String"
40136	"Upper Limit"	"The upper vertical limit of control for an ATS route segment."	"Field length: 5 characters"	"limitu"		5		"Coded String"
40137	"Lower Limit"	"The lower vertical limit of control for an ATS route segment."	"Field length: 5 characters"	"limitl"		5		"Coded String"
40138	"Type of ATS Route Centreline"	"A one letter code identifying the type of ATS route. (DAFIF)"		"atstyp"				"Enumeration"
40139	"Frequency class"	"A one character alpha code identifying the ATS Route Frequency Class."		"fqclas"				"Enumeration"
40140	"Frequency of Navaid"	"The frequency assigned to the specific navaid by the controlling authority with the unit of measurement in (K) Kilohertz or (M) Megahertz (DAFIF)"	"Field length: 8 characters"	"navfrq"		8		"Coded String"
40141	"Channel of Navaid"	"The channel assigned to the specific navaid by the controlling authority. (DAFIF)"	"Field length: 40 characters"	"navcha"		4		"Coded String"
40142	"Status of ATS Route Centreline"	"Indicates whether ATS route is open, closed, restricted or seasonal in sime way. I.E. Hours of operation. (DAFIF)"		"atssta"				"Enumeration"
40143	"Status of aeronautical navaid"	"Navaids that are out of service for the period beginning with the release of the digital data which are expexted to be out of service for 30 days or more will have an ""O"" indicated. In service navaids will have an ""I"" indicated. On test will have an ""T"" i"		"navsta"				"Enumeration"
40144	"Upper effectve altitude"	"Indicates the highest altitude (Ceiling) Above Mean Sea Level (AMSL) or Above Ground Elev. (AGL) in feet for the upper vertical limit of the given airspace. (DAFIF)"	"Field length: 10 characters"	"efaltu"		10		"Coded String"
40145	"Lower effectve altitude"	"Indicates the lowest altitude (Floor) Above Mean Sea Level (AMSL) or Above Ground Elev. (AGL) in feet for the lowervertical limit of the given airspace. (DAFIF)"	"Field length: 9 characters"	"efaltl"		9		"Coded String"
40146	"Surface runway material"	"The visible material or composition of the major portion of the landing portion of the runway. (DAFIF)."		"runsur"				"Enumeration"
40147	"Level of airspace"	"Code indicates the airspace structure in which the boundary is effective. (DAFIF)"		"airlev"				"Enumeration"
